LD,Velocity (km/s),a (degrees),$ (degrees),DI
1,0.25,75,75,0.00047
1,0.25,75,60,0.00792
1,0.25,75,45,0.01477
1,0.25,75,30,0.02229
1,0.25,75,15,0.02518
1,0.25,75,0,0.02897
1,0.25,60,75,0.00009
1,0.25,60,60,0.00413
1,0.25,60,45,0.0131
1,0.25,60,30,0.0207
1,0.25,60,15,0.02687
1,0.25,60,0,0.02858
1,0.25,45,75,0.00004
1,0.25,45,60,0.00108
1,0.25,45,45,0.00761
1,0.25,45,30,0.01842
1,0.25,45,15,0.02641
1,0.25,45,0,0.03002
1,0.25,30,75,0
1,0.25,30,60,0.00129
1,0.25,30,45,0.00667
1,0.25,30,30,0.01515
1,0.25,30,15,0.02341
1,0.25,30,0,0.02718
1,0.25,15,75,0
1,0.25,15,60,0.00184
1,0.25,15,45,0.01069
1,0.25,15,30,0.01829
1,0.25,15,15,0.02119
1,0.25,15,0,0.02343
1,0.5,75,75,0.02227
1,0.5,75,60,0.07588
1,0.5,75,45,0.11822
1,0.5,75,30,0.13664
1,0.5,75,15,0.14343
1,0.5,75,0,0.15017
1,0.5,60,75,0.01792
1,0.5,60,60,0.07401
1,0.5,60,45,0.12749
1,0.5,60,30,0.13349
1,0.5,60,15,0.14494
1,0.5,60,0,0.14724
1,0.5,45,75,0.02062
1,0.5,45,60,0.06896
1,0.5,45,45,0.12566
1,0.5,45,30,0.14521
1,0.5,45,15,0.14581
1,0.5,45,0,0.14619
1,0.5,30,75,0.02286
1,0.5,30,60,0.06525
1,0.5,30,45,0.11698
1,0.5,30,30,0.14383
1,0.5,30,15,0.14855
1,0.5,30,0,0.14867
1,0.5,15,75,0.01801
1,0.5,15,60,0.06717
1,0.5,15,45,0.10998
1,0.5,15,30,0.13818
1,0.5,15,15,0.15035
1,0.5,15,0,0.14917
1,1,75,75,0.12676
1,1,75,60,0.23932
1,1,75,45,0.33908
1,1,75,30,0.37557
1,1,75,15,0.40141
1,1,75,0,0.41651
1,1,60,75,0.12245
1,1,60,60,0.2494
1,1,60,45,0.34854
1,1,60,30,0.3846
1,1,60,15,0.39794
1,1,60,0,0.40935
1,1,45,75,0.1341
1,1,45,60,0.24291
1,1,45,45,0.34964
1,1,45,30,0.39552
1,1,45,15,0.40425
1,1,45,0,0.40744
1,1,30,75,0.14348
1,1,30,60,0.2418
1,1,30,45,0.34754
1,1,30,30,0.39569
1,1,30,15,0.42616
1,1,30,0,0.41688
1,1,15,75,0.13732
1,1,15,60,0.23978
1,1,15,45,0.33683
1,1,15,30,0.39139
