LD,Velocity (km/s),a (degrees),$ (degrees),DI
1,0.25,90,75,0.00007
1,0.25,90,60,0.0058
1,0.25,90,45,0.01259
1,0.25,90,30,0.02086
1,0.25,90,15,0.02278
1,0.25,90,0,0.02489
1,0.25,0,75,0
1,0.25,0,60,0.00655
1,0.25,0,45,0.01424
1,0.25,0,30,0.02094
1,0.25,0,15,0.02575
1,0.25,0,0,0.02408
1,0.5,90,75,0.02148
1,0.5,90,60,0.0641
1,0.5,90,45,0.1101
1,0.5,90,30,0.13665
1,0.5,90,15,0.15189
1,0.5,90,0,0.14974
1,0.5,0,75,0.01773
1,0.5,0,60,0.07245
1,0.5,0,45,0.1108
1,0.5,0,30,0.13666
1,0.5,0,15,0.14761
1,0.5,0,0,0.15593
1,1,90,75,0.13059
1,1,90,60,0.23942
1,1,90,45,0.32582
1,1,90,30,0.38054
1,1,90,15,0.40661
1,1,90,0,0.41578
1,1,0,75,0.12319
1,1,0,60,0.23485
1,1,0,45,0.33947
1,1,0,30,0.38735
1,1,0,15,0.41939
1,1,0,0,0.43333
1,1.25,90,75,0.18942
1,1.25,90,60,0.32509
1,1.25,90,45,0.41133
1,1.25,90,30,0.49316
1,1.25,90,15,0.52938
1,1.25,90,0,0.54926
1,1.25,0,75,0.18408
1,1.25,0,60,0.32701
1,1.25,0,45,0.42735
1,1.25,0,30,0.5065
1,1.25,0,15,0.54532
1,1.25,0,0,0.55252
1,1.5,90,75,0.22893
1,1.5,90,60,0.40439
1,1.5,90,45,0.50248
1,1.5,90,30,0.60418
1,1.5,90,15,0.6485
1,1.5,90,0,0.67502
1,1.5,0,75,0.21311
1,1.5,0,60,0.40422
1,1.5,0,45,0.52268
1,1.5,0,30,0.6211
1,1.5,0,15,0.64141
1,1.5,0,0,0.6503
1,1.81,90,75,0.26855
1,1.81,90,60,0.4866
1,1.81,90,45,0.62548
1,1.81,90,30,0.72338
1,1.81,90,15,0.80716
1,1.81,90,0,0.81403
1,1.81,0,75,0.24691
1,1.81,0,60,0.49161
1,1.81,0,45,0.64242
1,1.81,0,30,0.73174
1,1.81,0,15,0.79529
1,1.81,0,0,0.80348
1,2.15,90,75,0.30161
1,2.15,90,60,0.56859
1,2.15,90,45,0.75091
1,2.15,90,30,0.92972
1,2.15,90,15,0.98524
1,2.15,90,0,0.99567
1,2.15,0,75,0.28686
1,2.15,0,60,0.57935
1,2.15,0,45,0.77941
1,2.15,0,30,0.92183
1,2.15,0,15,0.98294
1,2.15,0,0,1.00639
2,0.25,90,75,0
2,0.25,90,60,0.00649
2,0.25,90,45,0.01109
2,0.25,90,30,0.01821
2,0.25,90,15,0.02181
2,0.25,90,0,0.02317
2,0.25,0,75,0.00004
2,0.25,0,60,0.00475
2,0.25,0,45,0.01055
2,0.25,0,30,0.02207
2,0.25,0,15,0.02685
2,0.25,0,0,0.03048
2,0.5,90,75,0.02046
2,0.5,90,60,0.07121
2,0.5,90,45,0.10805
2,0.5,90,30,0.12635
2,0.5,90,15,0.13174
2,0.5,90,0,0.1289
2,0.5,0,75,0.01698
2,0.5,0,60,0.06441
2,0.5,0,45,0.11147
2,0.5,0,30,0.14328
2,0.5,0,15,0.15796
2,0.5,0,0,0.17152
2,1,90,75,0.15229
2,1,90,60,0.24168
2,1,90,45,0.31553
2,1,90,30,0.36276
2,1,90,15,0.38718
2,1,90,0,0.39596
2,1,0,75,0.08133
2,1,0,60,0.23683
2,1,0,45,0.33629
2,1,0,30,0.39144
2,1,0,15,0.46258
2,1,0,0,0.46091
2,1.25,90,75,0.21055
2,1.25,90,60,0.32192
2,1.25,90,45,0.40437
2,1.25,90,30,0.45242
2,1.25,90,15,0.49666
2,1.25,90,0,0.50058
2,1.25,0,75,0.10688
2,1.25,0,60,0.28568
2,1.25,0,45,0.43149
2,1.25,0,30,0.52406
2,1.25,0,15,0.57766
2,1.25,0,0,0.60334
2,1.5,90,75,0.2365
2,1.5,90,60,0.40724
