LD,Velocity (km/s),a (degrees),$ (degrees),DI
2,0.5,75,60,0.0784
2,0.5,75,45,0.11399
2,0.5,75,30,0.13432
2,0.5,75,15,0.13617
2,0.5,60,60,0.08909
2,0.5,60,45,0.12459
2,0.5,60,30,0.13789
2,0.5,60,15,0.14001
2,0.5,45,60,0.0737
2,0.5,45,45,0.12889
2,0.5,45,30,0.1405
2,0.5,45,15,0.14776
2,0.5,30,60,0.06227
2,0.5,30,45,0.11579
2,0.5,30,30,0.14563
2,0.5,30,15,0.15365
2,0.5,15,60,0.05006
2,0.5,15,45,0.11541
2,0.5,15,30,0.14458
2,0.5,15,15,0.15668
2,0.5,-15,60,0.06292
2,0.5,-15,45,0.1089
2,0.5,-15,30,0.13457
2,0.5,-15,15,0.15124
2,0.5,-30,60,0.05937
2,0.5,-30,45,0.11416
2,0.5,-30,30,0.13357
2,0.5,-30,15,0.14494
2,0.5,-45,60,0.05186
2,0.5,-45,45,0.11527
2,0.5,-45,30,0.13458
2,0.5,-45,15,0.14072
2,0.5,-60,60,0.05419
2,0.5,-60,45,0.10495
2,0.5,-60,30,0.13058
2,0.5,-60,15,0.13972
2,0.5,-75,60,0.05972
2,0.5,-75,45,0.10412
2,0.5,-75,30,0.12818
2,0.5,-75,15,0.13609
2,1,75,60,0.24026
2,1,75,45,0.33948
2,1,75,30,0.37604
2,1,75,15,0.38144
2,1,60,60,0.26232
2,1,60,45,0.35752
2,1,60,30,0.38034
2,1,60,15,0.38768
2,1,45,60,0.25814
2,1,45,45,0.35986
2,1,45,30,0.41111
2,1,45,15,0.41014
2,1,30,60,0.23974
2,1,30,45,0.36257
2,1,30,30,0.43351
2,1,30,15,0.45234
2,1,15,60,0.2409
2,1,15,45,0.34642
2,1,15,30,0.41522
2,1,15,15,0.46186
2,1,-15,60,0.22775
2,1,-15,45,0.32568
2,1,-15,30,0.38084
2,1,-15,15,0.4227
2,1,-30,60,0.23299
2,1,-30,45,0.2988
2,1,-30,30,0.36993
2,1,-30,15,0.40299
2,1,-45,60,0.23888
2,1,-45,45,0.30383
2,1,-45,30,0.367
2,1,-45,15,0.39565
2,1,-60,60,0.2333
2,1,-60,45,0.29414
2,1,-60,30,0.359
2,1,-60,15,0.38573
2,1,-75,60,0.23333
2,1,-75,45,0.28955
2,1,-75,30,0.35449
2,1,-75,15,0.37477
2,1.25,75,60,0.34836
2,1.25,75,45,0.41963
2,1.25,75,30,0.47539
2,1.25,75,15,0.49691
2,1.25,60,60,0.36594
2,1.25,60,45,0.43875
2,1.25,60,30,0.5051
2,1.25,60,15,0.52043
2,1.25,45,60,0.36624
2,1.25,45,45,0.46251
2,1.25,45,30,0.53299
2,1.25,45,15,0.54107
2,1.25,30,60,0.35085
2,1.25,30,45,0.4474
2,1.25,30,30,0.54308
2,1.25,30,15,0.57173
2,1.25,15,60,0.31303
2,1.25,15,45,0.44034
2,1.25,15,30,0.53398
2,1.25,15,15,0.58029
2,1.25,-15,60,0.28415
2,1.25,-15,45,0.42151
2,1.25,-15,30,0.49217
2,1.25,-15,15,0.55342
2,1.25,-30,60,0.28208
2,1.25,-30,45,0.40056
2,1.25,-30,30,0.46519
2,1.25,-30,15,0.52892
2,1.25,-45,60,0.29448
2,1.25,-45,45,0.40862
2,1.25,-45,30,0.4599
2,1.25,-45,15,0.51261
2,1.25,-60,60,0.2893
2,1.25,-60,45,0.40162
2,1.25,-60,30,0.44896
2,1.25,-60,15,0.48803
2,1.25,-75,60,0.30303
2,1.25,-75,45,0.40437
2,1.25,-75,30,0.45097
2,1.25,-75,15,0.48483
2,1.5,75,60,0.41948
2,1.5,75,45,0.51853
2,1.5,75,30,0.59123
2,1.5,75,15,0.61957
2,1.5,60,60,0.4212
2,1.5,60,45,0.54498
2,1.5,60,30,0.60618
2,1.5,60,15,0.6239
2,1.5,45,60,0.428
2,1.5,45,45,0.55209
2,1.5,45,30,0.63784
2,1.5,45,15,0.6528
2,1.5,30,60,0.42728
2,1.5,30,45,0.5549
2,1.5,30,30,0.64605
2,1.5,30,15,0.70332
2,1.5,15,60,0.40216
2,1.5,15,45,0.53916
2,1.5,15,30,0.63266
2,1.5,15,15,0.69013
2,1.5,-15,45,0.49915
2,1.5,-15,30,0.61359
2,1.5,-15,15,0.67356
2,1.5,-30,60,0.35528
2,1.5,-30,45,0.47941
2,1.5,-30,30,0.59144
2,1.5,-30,15,0.64014
2,1.5,-45,60,0.36915
2,1.5,-45,45,0.48882
2,1.5,-45,30,0.56969
2,1.5,-45,15,0.62796
2,1.5,-60,60,0.3676
2,1.5,-60,45,0.48289
2,1.5,-60,30,0.56743
2,1.5,-60,15,0.61703
2,1.5,-75,60,0.37829
2,1.5,-75,45,0.47628
2,1.5,-75,30,0.56902
2,1.5,-75,15,0.62421
2,1.81,75,60,0.48321
2,1.81,75,45,0.61854
2,1.81,75,30,0.70523
2,1.81,75,15,0.76471
2,1.81,60,60,0.49331
2,1.81,60,45,0.64674
2,1.81,60,30,0.75257
2,1.81,60,15,0.77891
2,1.81,45,60,0.49854
2,1.81,45,45,0.64315
2,1.81,45,30,0.7649
2,1.81,45,15,0.81902
2,1.81,30,60,0.50577
2,1.81,30,45,0.65607
2,1.81,30,30,0.75267
2,1.81,30,15,0.83159
2,1.81,15,60,0.49771
2,1.81,15,45,0.65905
2,1.81,15,30,0.75455
2,1.81,15,15,0.82643
2,1.81,-15,60,0.45623
2,1.81,-15,30,0.73667
2,1.81,-15,15,0.82264
2,1.81,-30,60,0.46084
2,1.81,-30,45,0.60718
2,1.81,-30,30,0.71577
2,1.81,-30,15,0.79545
2,1.81,-45,60,0.45418
2,1.81,-45,45,0.58831
2,1.81,-45,30,0.70239
2,1.81,-45,15,0.78106
2,1.81,-60,60,0.44708
2,1.81,-60,45,0.58674
2,1.81,-60,30,0.69754
2,1.81,-60,15,0.75513
2,1.81,-75,60,0.46637
2,1.81,-75,45,0.59401
2,1.81,-75,30,0.70545
2,1.81,-75,15,0.76147
