LD,Velocity (km/s),a (degrees),$ (degrees),DI
1,0.25,90,75,0.00007
1,0.25,90,45,0.01259
1,0.25,90,30,0.02086
1,0.25,90,0,0.02489
1,0.25,45,75,0.00004
1,0.25,45,45,0.00761
1,0.25,45,30,0.01842
1,0.25,45,0,0.03002
1,0.25,0,75,0
1,0.25,0,45,0.01424
1,0.25,0,30,0.02094
1,0.25,0,0,0.02408
1,0.25,-45,75,0.00013
1,0.25,-45,45,0.00738
1,0.25,-45,30,0.0193
1,0.25,-45,0,0.0284
1,0.25,-90,75,0.00007
1,0.25,-90,45,0.01259
1,0.25,-90,30,0.02086
1,0.25,-90,0,0.02489
1,1.25,90,75,0.18942
1,1.25,90,45,0.41133
1,1.25,90,30,0.49316
1,1.25,90,0,0.54926
1,1.25,45,75,0.17196
1,1.25,45,45,0.43178
1,1.25,45,30,0.50719
1,1.25,45,0,0.54012
1,1.25,0,75,0.18408
1,1.25,0,45,0.42735
1,1.25,0,30,0.5065
1,1.25,0,0,0.55252
1,1.25,-45,75,0.10229
1,1.25,-45,45,0.42486
1,1.25,-45,30,0.50846
1,1.25,-45,0,0.54604
1,1.25,-90,75,0.18942
1,1.25,-90,45,0.41133
1,1.25,-90,30,0.49316
1,1.25,-90,0,0.54926
1,2.15,90,75,0.30161
1,2.15,90,45,0.75091
1,2.15,90,30,0.92972
1,2.15,90,0,0.99567
1,2.15,45,75,0.30037
1,2.15,45,45,0.75682
1,2.15,45,30,0.90294
1,2.15,45,0,1.02366
1,2.15,0,75,0.28686
1,2.15,0,45,0.77941
1,2.15,0,30,0.92183
1,2.15,0,0,1.00639
1,2.15,-45,75,0.2742
1,2.15,-45,45,0.76518
1,2.15,-45,30,0.90944
1,2.15,-45,0,1.02311
1,2.15,-90,75,0.30161
1,2.15,-90,45,0.75091
1,2.15,-90,30,0.92972
2,0.25,90,75,0
2,0.25,90,45,0.01109
2,0.25,90,30,0.01821
2,0.25,90,0,0.02317
2,0.25,45,75,0.00004
2,0.25,45,45,0.01138
2,0.25,45,30,0.02272
2,0.25,45,0,0.02576
2,0.25,0,75,0.00004
2,0.25,0,45,0.01055
2,0.25,0,30,0.02207
2,0.25,0,0,0.03048
2,0.25,-45,75,0.00006
2,0.25,-45,45,0.00596
2,0.25,-45,30,0.01415
2,0.25,-45,0,0.02561
2,0.25,-90,75,0
2,0.25,-90,45,0.01109
2,0.25,-90,30,0.01821
2,0.25,-90,0,0.02317
2,1.25,90,75,0.21055
2,1.25,90,45,0.40437
2,1.25,90,30,0.45242
2,1.25,90,0,0.50058
2,1.25,45,75,0.17308
2,1.25,45,45,0.46251
2,1.25,45,30,0.53299
2,1.25,45,0,0.52857
2,1.25,0,75,0.10688
2,1.25,0,45,0.43149
2,1.25,0,30,0.52406
2,1.25,0,0,0.60334
2,1.25,-45,75,0.10232
2,1.25,-45,45,0.40862
2,1.25,-45,30,0.4599
2,1.25,-45,0,0.53082
2,1.25,-90,75,0.21055
2,1.25,-90,45,0.40437
2,1.25,-90,30,0.45242
2,1.25,-90,0,0.50058
2,2.15,90,75,0.31657
2,2.15,90,45,0.74793
2,2.15,90,30,0.85507
2,2.15,90,0,0.93314
2,2.15,45,75,0.31111
2,2.15,45,45,0.77504
2,2.15,45,30,0.91418
2,2.15,45,0,0.99862
2,2.15,0,75,0.2123
2,2.15,0,45,0.78395
2,2.15,0,30,0.94688
2,2.15,0,0,1.0276
2,2.15,-45,75,0.21989
2,2.15,-45,45,0.71493
2,2.15,-45,30,0.86315
2,2.15,-45,0,0.99808
2,2.15,-90,75,0.31657
2,2.15,-90,45,0.74793
2,2.15,-90,30,0.85507
4,0.25,90,75,0
4,0.25,90,45,0.00766
4,0.25,90,30,0.01312
4,0.25,90,0,0.01896
4,0.25,45,75,0.00002
4,0.25,45,45,0.01252
4,0.25,45,30,0.01963
4,0.25,45,0,0.02196
4,0.25,0,75,0.00004
4,0.25,0,45,0.00769
4,0.25,0,30,0.0156
4,0.25,0,0,0.03437
4,0.25,-45,75,0.00005
4,0.25,-45,45,0.00634
4,0.25,-45,30,0.01403
4,0.25,-45,0,0.02226
4,0.25,-90,75,0
4,0.25,-90,45,0.00766
4,0.25,-90,30,0.01312
4,0.25,-90,0,0.01896
4,1.25,90,75,0.19908
4,1.25,90,45,0.39495
4,1.25,90,30,0.43447
4,1.25,90,0,0.45403
4,1.25,45,75,0.16823
4,1.25,45,45,0.49544
4,1.25,45,30,0.5449
4,1.25,45,0,0.49878
4,1.25,0,75,0.10015
4,1.25,0,45,0.40005
4,1.25,0,30,0.50655
4,1.25,0,0,0.64251
4,1.25,-45,75,0.08615
4,1.25,-45,45,0.34952
4,1.25,-45,30,0.42309
4,1.25,-45,0,0.49486
4,1.25,-90,75,0.19908
4,1.25,-90,45,0.39495
4,1.25,-90,30,0.43447
4,1.25,-90,0,0.45403
4,2.15,90,75,0.3028
4,2.15,90,45,0.72227
4,2.15,90,30,0.83957
4,2.15,90,0,0.9759
4,2.15,45,75,0.31934
4,2.15,45,45,0.80265
4,2.15,45,30,0.94853
4,2.15,45,0,0.97753
4,2.15,0,75,0.13629
4,2.15,0,45,0.77948
4,2.15,0,30,0.9542
4,2.15,0,0,1.05821
4,2.15,-45,75,0.13836
4,2.15,-45,45,0.64115
4,2.15,-45,30,0.81578
4,2.15,-45,0,0.97249
4,2.15,-90,75,0.3028
4,2.15,-90,45,0.72227
4,2.15,-90,30,0.83957
