LD,Velocity (km/s),a (degrees),$ (degrees),DI
1,0.25,90,60,0.0058
1,0.25,90,45,0.01259
1,0.25,90,30,0.02086
1,0.25,90,15,0.02278
1,0.25,75,60,0.00792
1,0.25,75,45,0.01477
1,0.25,75,30,0.02229
1,0.25,75,15,0.02518
1,0.25,60,60,0.00413
1,0.25,60,45,0.0131
1,0.25,60,30,0.0207
1,0.25,60,15,0.02687
1,0.25,45,60,0.00108
1,0.25,45,45,0.00761
1,0.25,45,30,0.01842
1,0.25,45,15,0.02641
1,0.25,30,60,0.00129
1,0.25,30,45,0.00667
1,0.25,30,30,0.01515
1,0.25,30,15,0.02341
1,0.25,15,60,0.00184
1,0.25,15,45,0.01069
1,0.25,15,30,0.01829
1,0.25,15,15,0.02119
1,0.25,0,60,0.00655
1,0.25,0,45,0.01424
1,0.25,0,30,0.02094
1,0.25,0,15,0.02575
1,0.25,-15,60,0.00691
1,0.25,-15,45,0.01423
1,0.25,-15,30,0.02206
1,0.25,-15,15,0.02579
1,0.25,-30,60,0.00256
1,0.25,-30,45,0.01378
1,0.25,-30,30,0.02402
1,0.25,-30,15,0.02809
1,0.25,-45,60,0.00103
1,0.25,-45,45,0.00738
1,0.25,-45,30,0.0193
1,0.25,-45,15,0.02908
1,0.25,-60,60,0.00202
1,0.25,-60,45,0.00753
1,0.25,-60,30,0.01625
1,0.25,-60,15,0.02597
1,0.25,-75,60,0.00249
1,0.25,-75,45,0.01039
1,0.25,-75,30,0.01813
1,0.25,-75,15,0.02333
1,0.25,-90,60,0.0058
1,0.25,-90,45,0.01259
1,0.25,-90,30,0.02086
1,0.25,-90,15,0.02278
1,0.5,90,60,0.0641
1,0.5,90,45,0.1101
1,0.5,90,30,0.13665
1,0.5,90,15,0.15189
1,0.5,75,60,0.07588
1,0.5,75,45,0.11822
1,0.5,75,30,0.13664
1,0.5,75,15,0.14343
1,0.5,60,60,0.07401
1,0.5,60,45,0.12749
1,0.5,60,30,0.13349
1,0.5,60,15,0.14494
1,0.5,45,60,0.06896
1,0.5,45,45,0.12566
1,0.5,45,30,0.14521
1,0.5,45,15,0.14581
1,0.5,30,60,0.06525
1,0.5,30,45,0.11698
1,0.5,30,30,0.14383
1,0.5,30,15,0.14855
1,0.5,15,60,0.06717
1,0.5,15,45,0.10998
1,0.5,15,30,0.13818
1,0.5,15,15,0.15035
1,0.5,0,60,0.07245
1,0.5,0,45,0.1108
1,0.5,0,30,0.13666
1,0.5,0,15,0.14761
1,0.5,-15,60,0.06996
1,0.5,-15,45,0.11901
1,0.5,-15,30,0.14084
1,0.5,-15,15,0.14793
1,0.5,-30,60,0.07431
1,0.5,-30,45,0.12374
1,0.5,-30,30,0.14555
1,0.5,-30,15,0.14813
1,0.5,-45,60,0.05995
1,0.5,-45,45,0.12475
1,0.5,-45,30,0.14796
1,0.5,-45,15,0.14571
1,0.5,-60,60,0.05167
1,0.5,-60,45,0.1167
1,0.5,-60,30,0.14469
1,0.5,-60,15,0.15048
1,0.5,-75,60,0.06031
1,0.5,-75,45,0.11034
1,0.5,-75,30,0.13732
1,0.5,-75,15,0.14875
1,0.5,-90,60,0.0641
1,0.5,-90,45,0.1101
1,0.5,-90,30,0.13665
1,0.5,-90,15,0.15189
1,1,90,60,0.23942
1,1,90,45,0.32582
1,1,90,30,0.38054
1,1,90,15,0.40661
1,1,75,60,0.23932
1,1,75,45,0.33908
1,1,75,30,0.37557
1,1,75,15,0.40141
1,1,60,60,0.2494
1,1,60,45,0.34854
1,1,60,30,0.3846
1,1,60,15,0.39794
1,1,45,60,0.24291
1,1,45,45,0.34964
1,1,45,30,0.39552
1,1,45,15,0.40425
1,1,30,60,0.2418
1,1,30,45,0.34754
1,1,30,30,0.39569
1,1,30,15,0.42616
1,1,15,60,0.23978
1,1,15,45,0.33683
1,1,15,30,0.39139
1,1,15,15,0.42213
1,1,0,60,0.23485
1,1,0,45,0.33947
1,1,0,30,0.38735
1,1,0,15,0.41939
1,1,-15,60,0.23934
1,1,-15,45,0.34655
1,1,-15,30,0.39006
1,1,-15,15,0.41099
1,1,-30,60,0.24264
1,1,-30,45,0.33389
1,1,-30,30,0.3836
1,1,-30,15,0.40689
1,1,-45,60,0.2426
1,1,-45,45,0.33279
1,1,-45,30,0.39125
1,1,-45,15,0.40526
1,1,-60,60,0.23967
1,1,-60,45,0.32679
1,1,-60,30,0.38884
1,1,-60,15,0.4107
1,1,-75,60,0.23513
1,1,-75,45,0.32161
1,1,-75,30,0.38037
