LD,Velocity (km/s),a (degrees),$ (degrees),DI
1,0.25,90,75,0.00007
1,0.25,90,0,0.02489
1,0.25,75,75,0.00047
1,0.25,75,0,0.02897
1,0.25,60,75,0.00009
1,0.25,60,0,0.02858
1,0.25,45,75,0.00004
1,0.25,45,0,0.03002
1,0.25,30,75,0
1,0.25,30,0,0.02718
1,0.25,15,75,0
1,0.25,15,0,0.02343
1,0.25,0,75,0
1,0.25,0,0,0.02408
1,0.25,-15,75,0.0012
1,0.25,-15,0,0.02401
1,0.25,-30,75,0.00014
1,0.25,-30,0,0.02607
1,0.25,-45,75,0.00013
1,0.25,-45,0,0.0284
1,0.25,-60,75,0.00003
1,0.25,-60,0,0.02881
1,0.25,-75,75,0
1,0.25,-75,0,0.02708
1,0.25,-90,75,0.00007
1,0.25,-90,0,0.02489
1,0.5,90,75,0.02148
1,0.5,90,0,0.14974
1,0.5,75,75,0.02227
1,0.5,75,0,0.15017
1,0.5,60,75,0.01792
1,0.5,60,0,0.14724
1,0.5,45,75,0.02062
1,0.5,45,0,0.14619
1,0.5,30,75,0.02286
1,0.5,30,0,0.14867
1,0.5,15,75,0.01801
1,0.5,15,0,0.14917
1,0.5,0,75,0.01773
1,0.5,0,0,0.15593
1,0.5,-15,75,0.0179
1,0.5,-15,0,0.14988
1,0.5,-30,75,0.00761
1,0.5,-30,0,0.1467
1,0.5,-45,75,0.00113
1,0.5,-45,0,0.14839
1,0.5,-60,75,0.00978
1,0.5,-60,0,0.14812
1,0.5,-75,75,0.01884
1,0.5,-75,0,0.15047
1,0.5,-90,75,0.02148
1,0.5,-90,0,0.14974
1,1,90,75,0.13059
1,1,90,0,0.41578
1,1,75,75,0.12676
1,1,75,0,0.41651
1,1,60,75,0.12245
1,1,60,0,0.40935
1,1,45,75,0.1341
1,1,45,0,0.40744
1,1,30,75,0.14348
1,1,30,0,0.41688
1,1,15,75,0.13732
1,1,15,0,0.43667
1,1,0,75,0.12319
1,1,0,0,0.43333
1,1,-15,75,0.10434
1,1,-15,0,0.43927
1,1,-30,75,0.07146
1,1,-30,0,0.42152
1,1,-45,75,0.06227
1,1,-45,0,0.40913
1,1,-60,75,0.09494
1,1,-60,0,0.4142
1,1,-75,75,0.12154
1,1,-75,0,0.41845
1,1,-90,75,0.13059
1,1,-90,0,0.41578
1,1.25,90,75,0.18942
1,1.25,90,0,0.54926
1,1.25,75,75,0.19084
1,1.25,75,0,0.54824
1,1.25,60,75,0.16817
1,1.25,60,0,0.54668
1,1.25,45,75,0.17196
1,1.25,45,0,0.54012
1,1.25,30,75,0.18204
1,1.25,30,0,0.55341
1,1.25,15,75,0.17855
1,1.25,15,0,0.56289
1,1.25,0,75,0.18408
