LD,Velocity (km/s),a (degrees),$ (degrees),DI
1,0.25,90,75,0.00007
1,0.25,90,60,0.0058
1,0.25,90,45,0.01259
1,0.25,90,30,0.02086
1,0.25,90,15,0.02278
1,0.25,90,0,0.02489
1,0.25,75,75,0.00047
1,0.25,75,60,0.00792
1,0.25,75,45,0.01477
1,0.25,75,30,0.02229
1,0.25,75,15,0.02518
1,0.25,75,0,0.02897
1,0.25,60,75,0.00009
1,0.25,60,60,0.00413
1,0.25,60,45,0.0131
1,0.25,60,30,0.0207
1,0.25,60,15,0.02687
1,0.25,60,0,0.02858
1,0.25,45,75,0.00004
1,0.25,45,60,0.00108
1,0.25,45,45,0.00761
1,0.25,45,30,0.01842
1,0.25,45,15,0.02641
1,0.25,45,0,0.03002
1,0.25,30,75,0
1,0.25,30,60,0.00129
1,0.25,30,45,0.00667
1,0.25,30,30,0.01515
1,0.25,30,15,0.02341
1,0.25,30,0,0.02718
1,0.25,15,75,0
1,0.25,15,60,0.00184
1,0.25,15,45,0.01069
1,0.25,15,30,0.01829
1,0.25,15,15,0.02119
1,0.25,15,0,0.02343
1,0.25,0,75,0
1,0.25,0,60,0.00655
1,0.25,0,45,0.01424
1,0.25,0,30,0.02094
1,0.25,0,15,0.02575
1,0.25,0,0,0.02408
1,0.25,-15,75,0.0012
1,0.25,-15,60,0.00691
1,0.25,-15,45,0.01423
1,0.25,-15,30,0.02206
1,0.25,-15,15,0.02579
1,0.25,-15,0,0.02401
1,0.25,-30,75,0.00014
1,0.25,-30,60,0.00256
1,0.25,-30,45,0.01378
1,0.25,-30,30,0.02402
1,0.25,-30,15,0.02809
1,0.25,-30,0,0.02607
1,0.25,-45,75,0.00013
1,0.25,-45,60,0.00103
1,0.25,-45,45,0.00738
1,0.25,-45,30,0.0193
1,0.25,-45,15,0.02908
1,0.25,-45,0,0.0284
1,0.25,-60,75,0.00003
1,0.25,-60,60,0.00202
1,0.25,-60,45,0.00753
1,0.25,-60,30,0.01625
1,0.25,-60,15,0.02597
1,0.25,-60,0,0.02881
1,0.25,-75,75,0
1,0.25,-75,60,0.00249
1,0.25,-75,45,0.01039
1,0.25,-75,30,0.01813
1,0.25,-75,15,0.02333
1,0.25,-75,0,0.02708
1,0.25,-90,75,0.00007
1,0.25,-90,60,0.0058
1,0.25,-90,45,0.01259
1,0.25,-90,30,0.02086
1,0.25,-90,15,0.02278
1,0.25,-90,0,0.02489
1,2.15,90,75,0.30161
1,2.15,90,60,0.56859
1,2.15,90,45,0.75091
1,2.15,90,30,0.92972
1,2.15,90,15,0.98524
1,2.15,90,0,0.99567
1,2.15,75,75,0.33099
1,2.15,75,60,0.58173
1,2.15,75,45,0.74954
1,2.15,75,30,0.91151
1,2.15,75,15,0.98681
1,2.15,75,0,0.98692
1,2.15,60,75,0.31178
1,2.15,60,60,0.58066
1,2.15,60,45,0.76922
1,2.15,60,30,0.89185
1,2.15,60,15,0.99531
1,2.15,60,0,1.02322
1,2.15,45,75,0.30037
1,2.15,45,60,0.58455
1,2.15,45,45,0.75682
1,2.15,45,30,0.90294
1,2.15,45,15,0.95387
1,2.15,45,0,1.02366
1,2.15,30,75,0.29359
1,2.15,30,60,0.58031
1,2.15,30,45,0.74881
1,2.15,30,30,0.8945
1,2.15,30,15,0.97436
1,2.15,30,0,0.9958
1,2.15,15,75,0.29792
1,2.15,15,60,0.58563
1,2.15,15,45,0.77833
1,2.15,15,30,0.89762
1,2.15,15,15,0.98169
1,2.15,15,0,0.97961
1,2.15,0,75,0.28686
1,2.15,0,60,0.57935
1,2.15,0,45,0.77941
1,2.15,0,30,0.92183
1,2.15,0,15,0.98294
1,2.15,0,0,1.00639
1,2.15,-15,75,0.29988
1,2.15,-15,60,0.59402
1,2.15,-15,45,0.76727
1,2.15,-15,30,0.94243
1,2.15,-15,15,0.97479
1,2.15,-15,0,0.98312
1,2.15,-30,75,0.28517
1,2.15,-30,60,0.59412
